iter	Passed	Remaining
687	4409	1999
688	4416	1993
689	4422	1986
690	4431	1981
691	4438	1975
692	4447	1970
693	4453	1963
694	4462	1958
695	4466	1950
696	4474	1945
697	4479	1938
698	4488	1932
699	4495	1926
700	4503	1920
701	4509	1914
702	4517	1908
703	4524	1902
704	4531	1896
705	4537	1889
706	4546	1884
707	4552	1877
708	4560	1871
709	4568	1866
710	4577	1860
711	4585	1854
712	4591	1848
713	4599	1842
714	4607	1836
715	4616	1831
716	4622	1824
717	4632	1819
718	4638	1812
719	4646	1807
720	4653	1800
721	4663	1795
722	4668	1788
723	4676	1782
724	4682	1775
725	4692	1771
726	4698	1764
727	4705	1758
728	4710	1750
729	4719	1745
730	4728	1739
731	4738	1734
732	4746	1729
733	4754	1723
734	4764	1717
735	4772	1711
736	4780	1705
737	4786	1699
738	4794	1693
739	4798	1686
740	4803	1678
741	4807	1671
742	4810	1664
743	4815	1656
744	4820	1649
745	4823	1642
746	4829	1635
747	4833	1628
748	4837	1621
749	4841	1613
750	4846	1606
751	4849	1599
752	4853	1592
753	4857	1584
754	4861	1577
755	4870	1571
756	4878	1566
757	4889	1561
758	4896	1554
759	4905	1549
760	4913	1542
761	4924	1538
762	4930	1531
763	4939	1525
764	4947	1519
765	4955	1513
766	4964	1508
767	4973	1502
768	4983	1497
769	4989	1490
770	4997	1484
771	5006	1478
772	5015	1472
773	5023	1466
774	5032	1460
775	5046	1456
776	5052	1450
777	5068	1446
778	5074	1439
779	5081	1433
780	5087	1426
781	5095	1420
782	5104	1414
783	5112	1408
784	5121	1402
785	5124	1395
786	5129	1388
787	5132	1380
788	5135	1373
789	5139	1366
790	5143	1358
791	5147	1351
792	5151	1344
793	5156	1337
794	5161	1330
795	5171	1325
796	5180	1319
797	5187	1313
798	5195	1307
799	5201	1300
800	5211	1294
801	5219	1288
802	5225	1281
803	5231	1275
804	5239	1269
805	5247	1263
806	5252	1256
807	5261	1250
808	5269	1244
809	5275	1237
810	5283	1231
811	5288	1224
812	5298	1218
813	5304	1212
814	5313	1206
815	5320	1199
816	5326	1193
817	5334	1186
818	5341	1180
819	5349	1174
820	5357	1168
821	5364	1161
822	5369	1154
823	5377	1148
824	5385	1142
825	5393	1136
826	5401	1130
827	5410	1124
828	5417	1117
829	5425	1111
830	5429	1104
831	5439	1098
832	5447	1092
833	5454	1085
834	5460	1078
835	5469	1072
836	5476	1066
837	5486	1060
838	5494	1054
839	5500	1047
840	5506	1041
841	5525	1036
842	5534	1030
843	5542	1024
844	5547	1017
845	5563	1012
846	5570	1006
847	5588	1001
848	5599	995
849	5608	989
850	5615	983
851	5624	976
852	5632	970
853	5639	964
854	5645	957
855	5654	951
856	5659	944
857	5667	938
858	5674	931
859	5680	924
860	5689	918
861	5695	911
862	5703	905
863	5708	898
864	5717	892
865	5722	885
866	5733	879
867	5738	872
868	5744	865
869	5753	859
870	5758	852
871	5764	846
872	5773	839
873	5782	833
874	5788	826
875	5791	819
876	5796	812
877	5799	805
878	5802	798
879	5804	791
880	5807	784
881	5811	777
882	5814	770
883	5816	763
884	5819	756
885	5822	749
886	5824	742
887	5827	735
888	5830	728
889	5833	720
890	5835	713
891	5838	706
892	5841	699
893	5843	692
894	5846	685
895	5849	678
896	5852	671
897	5854	665
898	5857	658
899	5860	651
900	5862	644
901	5865	637
902	5869	630
903	5871	623
904	5874	616
905	5877	609
906	5879	602
907	5882	596
908	5885	589
909	5888	582
910	5890	575
911	5893	568
912	5896	561
913	5898	555
914	5901	548
915	5904	541
916	5906	534
917	5909	527
918	5912	521
919	5914	514
920	5917	507
921	5920	500
922	5922	494
923	5925	487
924	5928	480
925	5930	473
926	5933	467
927	5936	460
928	5938	453
929	5941	447
930	5944	440
931	5948	434
932	5951	427
933	5953	420
934	5956	414
935	5959	407
936	5961	400
937	5964	394
938	5967	387
939	5969	381
940	5972	374
941	5975	367
942	5977	361
943	5980	354
944	5983	348
945	5986	341
946	5988	335
947	5991	328
948	5994	322
949	5996	315
950	5999	309
951	6001	302
952	6004	296
953	6007	289
954	6009	283
955	6012	276
956	6015	270
957	6017	263
958	6020	257
959	6022	250
960	6025	244
961	6028	238
962	6031	231
963	6033	225
964	6036	218
965	6038	212
966	6041	206
967	6043	199
968	6046	193
969	6049	187
970	6051	180
971	6054	174
972	6056	168
973	6059	161
974	6062	155
975	6064	149
976	6068	142
977	6072	136
978	6076	130
979	6080	124
980	6083	117
981	6085	111
982	6088	105
983	6091	99
984	6093	92
985	6096	86
986	6098	80
987	6101	74
988	6103	67
989	6106	61
990	6108	55
991	6111	49
992	6113	43
993	6116	36
994	6119	30
995	6122	24
996	6125	18
997	6129	12
998	6131	6
999	6135	0
