iter	Logloss
0	0.6409823367
1	0.5886625309
2	0.5430899764
3	0.5003774534
4	0.4617249364
5	0.4289669808
6	0.396080377
7	0.3692362761
8	0.3437094052
9	0.3180227013
10	0.2969487984
11	0.277596629
12	0.2546107465
13	0.2358008118
14	0.2161536399
15	0.1975742936
16	0.183472795
17	0.1701897056
18	0.1577647762
19	0.1470151155
20	0.1368644341
21	0.1279429526
22	0.1198634111
23	0.1124459863
24	0.1043763327
25	0.09575792562
26	0.0893033909
27	0.08320141617
28	0.07822023008
29	0.07393060728
30	0.06903997245
31	0.06466200791
32	0.06059618151
33	0.05687262839
34	0.05282405744
35	0.05003488133
36	0.04712007991
37	0.04415964239
38	0.04207927286
39	0.0398942232
40	0.03783613964
41	0.03556881898
42	0.03348956019
43	0.03152846101
44	0.02982858095
45	0.02816954373
46	0.02650251941
47	0.02500222312
48	0.02359781859
49	0.02252510986
50	0.0215322725
51	0.02056197673
52	0.0196483548
53	0.01851955512
54	0.01758808495
55	0.01665114082
56	0.01609251495
57	0.01532887871
58	0.01473286368
59	0.01399045215
60	0.01328596518
61	0.01260825503
62	0.0120623136
63	0.01137714402
64	0.01088604553
65	0.01046268826
66	0.009969652417
67	0.009598059105
68	0.009235676405
69	0.00884689977
70	0.008454607063
71	0.008153655832
72	0.007779901343
73	0.007445379511
74	0.007152379592
75	0.006924840052
76	0.006677179797
77	0.006424279492
78	0.006205074155
79	0.006034510919
80	0.005858178863
81	0.005650002986
82	0.005475871169
83	0.005317352828
84	0.005134282931
85	0.004964300752
86	0.004820626484
87	0.004672842363
88	0.00453392206
89	0.004428307986
90	0.004310452065
91	0.0042086676
92	0.004083825315
93	0.003990525852
94	0.003874784249
95	0.003776849558
96	0.003692058219
97	0.003615648634
98	0.003527185192
99	0.003436533274
100	0.003349501057
101	0.003258871062
102	0.003198335622
103	0.003108235911
104	0.003038436687
105	0.003007673403
106	0.002947511163
107	0.002890351859
108	0.002833785324
109	0.002771135637
110	0.002705863268
111	0.002655300052
112	0.002600043149
113	0.002547680036
114	0.002495118053
115	0.002444389376
116	0.002393883949
117	0.002343051479
118	0.002298461765
119	0.002256684108
120	0.002215188365
121	0.002171222646
122	0.002132990482
123	0.002094376048
124	0.002056149163
125	0.002015573652
126	0.001977325474
127	0.00194468771
128	0.001912298762
129	0.001877002573
130	0.001846905632
131	0.001823687456
132	0.001791685074
133	0.001763986234
134	0.001734001598
